"id","name","country_id"
"01","Amazonas","1"
"02","Áncash","1"
"03","Apurímac","1"
"04","Arequipa","1"
"05","Ayacucho","1"
"06","Cajamarca","1"
"07","Callao","1"
"08","Cusco","1"
"09","Huancavelica","1"
"10","Huánuco","1"
"11","Ica","1"
"12","Junín","1"
"13","La Libertad","1"
"14","Lambayeque","1"
"15","Lima","1"
"16","Loreto","1"
"17","Madre de Dios","1"
"18","Moquegua","1"
"19","Pasco","1"
"20","Piura","1"
"21","Puno","1"
"22","San Martín","1"
"23","Tacna","1"
"24","Tumbes","1"
"25","Ucayali","1"
